model_type,model_name,language,direction,split,test_examples,lemma_accuracy,lemma_mean_levenshtein,lemma_correct,lemma_total,msd_accuracy,msd_f1,msd_precision,msd_recall,msd_correct,msd_total,use_context,epochs,batch_size,learning_rate,timestamp
byt5,results/byt5-bidir-kat-context,kat,inverse,test,,0.06072874493927125,3.1875843454790824,45,741,0.05668016194331984,0.48610874382137376,0.7666666666666667,0.35587721487397056,42,741,True,,16,,2026-02-22T13:05:22.926717
byt5,results/byt5-bidir-por-context,por,inverse,test,,0.7449664429530202,0.5961968680089486,666,894,0.7181208053691275,0.8383464216921026,0.9846849982596589,0.7298761609907121,642,894,True,,16,,2026-02-22T02:53:25.525116
llm,meta-llama/llama-3.1-8b-instruct,amh,,test,99,0.6666666666666666,0.797979797979798,66,99,0.2727272727272727,0.6217228464419476,0.51875,0.7757009345794392,27,99,,,,,2026-02-22T17:08:44.366227
llm,meta-llama/llama-3.1-8b-instruct,eng,,test,1171,0.6643894107600341,0.8548249359521777,778,1171,0.10503842869342442,0.3751799596890296,0.4249836921069798,0.3358247422680412,123,1171,,,,,2026-02-05T23:46:20.051448
llm,meta-llama/llama-3.1-8b-instruct,grc,,test,404,0.35148514851485146,4.056930693069307,142,404,0.36633663366336633,0.816558698056565,0.821882951653944,0.8113029827315542,148,404,,,,,2026-02-06T00:16:07.556972
llm,meta-llama/llama-3.1-8b-instruct,ita,,test,404,0.7821782178217822,2.0024752475247523,316,404,0.034653465346534656,0.1774774774774775,0.26023778071334214,0.1346548188653452,14,404,,,,,2026-02-06T00:00:43.749660
llm,meta-llama/llama-3.1-8b-instruct,kat,,test,741,0.048582995951417005,4.75033738191633,36,741,0.1484480431848853,0.7370523232592198,0.7899543378995434,0.6907911155477914,110,741,,,,,2026-02-22T17:34:14.688709
llm,meta-llama/llama-3.1-8b-instruct,por,,test,894,0.7125279642058165,0.7505592841163311,637,894,0.01901565995525727,0.4575788634551873,0.4095820591233435,0.5183178534571723,17,894,,,,,2026-02-05T22:57:43.884508
llm,qwen/qwen3-8b,amh,,test,99,0.47474747474747475,4.3232323232323235,47,99,0.40404040404040403,0.6516853932584269,0.8169014084507042,0.5420560747663551,40,99,,,,,2026-02-22T12:39:06.362242
llm,qwen/qwen3-8b,eng,,test,1171,0.4910333048676345,5.465414175918019,575,1171,0.06746370623398805,0.40679177837354785,0.6635568513119533,0.29329896907216496,79,1171,,,,,2026-02-07T20:22:41.370368
llm,qwen/qwen3-8b,grc,,test,404,0.32673267326732675,6.076732673267327,132,404,0.4777227722772277,0.8182288969445883,0.9087423312883436,0.7441130298273155,193,404,,,,,2026-02-08T15:29:20.212148
llm,qwen/qwen3-8b,ita,,test,404,0.4282178217821782,8.331683168316832,173,404,0.21782178217821782,0.2465602641717116,0.632768361581921,0.15311004784688995,88,404,,,,,2026-02-08T05:31:55.779978
llm,qwen/qwen3-8b,kat,,test,741,0.04048582995951417,17.819163292847502,30,741,0.10796221322537113,0.4362585771036475,0.7890267798824298,0.30147242325929624,80,741,,,,,2026-02-22T17:03:53.261159
llm,qwen/qwen3-8b,por,,test,894,0.5156599552572707,8.453020134228188,461,894,0.02796420581655481,0.414560770156438,0.4971139971139971,0.35552115583075333,25,894,,,,,2026-02-06T21:52:46.156089
